Account Name,Year,Source,Immigrant Residents,Immigrant Share of Population,Share of FB that speak a language other than English at home,Immigrant Entrepreneurs,"Entrepreneur, Foreign-Born Share",Immigrants eligible to vote,Registered Immigrant Voters,Immigrant Taxes Paid,Immigrant Spending Power,State Fip,District,GEOID2,District_Note,StateName,DistrictNumber,DistrictName,GEOID
"Congressional District 4, Massachusetts",2024,1-year 2024 American Community Survey,128621,16.0%,80.8%,5690,7.00%,68011,48201,2743000000,6654000000,25,4,2504,,Massachusetts,4,Massachusetts District 4,2504
"Congressional District 5, Massachusetts",2024,1-year 2024 American Community Survey,216516,27.4%,85.1%,9000,6.30%,100604,71300,4480000000,10869000000,25,5,2505,,Massachusetts,5,Massachusetts District 5,2505
"Congressional District 6, Massachusetts",2024,1-year 2024 American Community Survey,126519,15.9%,82.6%,4673,5.70%,67525,47856,2142000000,5195000000,25,6,2506,,Massachusetts,6,Massachusetts District 6,2506
"Congressional District 7, Massachusetts",2024,1-year 2024 American Community Survey,253373,32.1%,82.9%,7134,4.50%,119854,84943,3554000000,8622000000,25,7,2507,,Massachusetts,7,Massachusetts District 7,2507
"Congressional District 8, Massachusetts",2024,1-year 2024 American Community Survey,162524,20.7%,80.7%,6902,6.40%,91499,64847,3089000000,7493000000,25,8,2508,,Massachusetts,8,Massachusetts District 8,2508
"Congressional District 9, Massachusetts",2024,1-year 2024 American Community Survey,68401,8.6%,67.0%,3658,8.80%,44523,31554,1012000000,2455000000,25,9,2509,,Massachusetts,9,Massachusetts District 9,2509
"Congressional District 6, Michigan",2024,1-year 2024 American Community Survey,115685,15.0%,80.0%,3297,4.70%,61393,43621,2151000000,5850000000,26,6,2606,,Michigan,6,Michigan District 6,2606
"Congressional District 10, Michigan",2024,1-year 2024 American Community Survey,112546,14.5%,84.7%,5101,8.20%,72584,51572,1497000000,4071000000,26,10,2610,,Michigan,10,Michigan District 10,2610
"Congressional District 11, Michigan",2024,1-year 2024 American Community Survey,117911,15.0%,82.7%,4478,5.90%,61970,44031,2229000000,6062000000,26,11,2611,,Michigan,11,Michigan District 11,2611
"Congressional District 12, Michigan",2024,1-year 2024 American Community Survey,84549,11.2%,86.1%,5572,12.70%,57067,40547,759000000,2063000000,26,12,2612,,Michigan,12,Michigan District 12,2612
"Congressional District 13, Michigan",2024,1-year 2024 American Community Survey,81546,10.4%,90.3%,3699,9.80%,37986,26989,690000000,1876000000,26,13,2613,,Michigan,13,Michigan District 13,2613
"Congressional District 2, Minnesota",2024,1-year 2024 American Community Survey,86898,11.6%,85.3%,4044,6.50%,46368,35318,1290000000,3387000000,27,2,2702,,Minnesota,2,Minnesota District 2,2702
"Congressional District 3, Minnesota",2024,1-year 2024 American Community Survey,96254,13.5%,73.5%,2094,3.00%,58596,44631,1544000000,4053000000,27,3,2703,,Minnesota,3,Minnesota District 3,2703
"Congressional District 4, Minnesota",2024,1-year 2024 American Community Survey,98140,13.9%,88.3%,1804,2.80%,56823,43281,1163000000,3053000000,27,4,2704,,Minnesota,4,Minnesota District 4,2704
"Congressional District 5, Minnesota",2024,1-year 2024 American Community Survey,101111,14.3%,81.4%,4035,6.00%,54585,41577,1060000000,2783000000,27,5,2705,,Minnesota,5,Minnesota District 5,2705
"Congressional District 2, Missouri",2024,1-year 2024 American Community Survey,65681,8.5%,82.5%,2092,4.80%,37609,26598,1117000000,3087000000,29,2,2902,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Missouri,2,Missouri District 2,2902
"Congressional District 2, Nebraska",2024,1-year 2024 American Community Survey,74273,10.9%,85.8%,2213,4.70%,30051,17571,781000000,2290000000,31,2,3102,,Nebraska,2,Nebraska District 2,3102
"Congressional District 1, Nevada",2024,1-year 2024 American Community Survey,190810,24.1%,90.1%,7975,7.00%,91699,63407,1978000000,6182000000,32,1,3201,,Nevada,1,Nevada District 1,3201
"Congressional District 2, Nevada",2024,1-year 2024 American Community Survey,107067,13.3%,85.3%,5287,7.30%,51872,35867,1275000000,3985000000,32,2,3202,,Nevada,2,Nevada District 2,3202
"Congressional District 3, Nevada",2024,1-year 2024 American Community Survey,210417,25.1%,85.4%,11929,9.00%,125998,87123,2503000000,7822000000,32,3,3203,,Nevada,3,Nevada District 3,3203
"Congressional District 4, Nevada",2024,1-year 2024 American Community Survey,141417,17.0%,86.2%,7875,9.10%,66633,46074,1194000000,3730000000,32,4,3204,,Nevada,4,Nevada District 4,3204
"Congressional District 1, New Jersey",2024,1-year 2024 American Community Survey,80729,10.3%,83.2%,2993,5.90%,45469,36555,1092000000,2525000000,34,1,3401,,New Jersey,1,New Jersey District 1,3401
"Congressional District 2, New Jersey",2024,1-year 2024 American Community Survey,83961,10.6%,86.9%,4563,8.40%,45337,36449,1107000000,2559000000,34,2,3402,,New Jersey,2,New Jersey District 2,3402
"Congressional District 3, New Jersey",2024,1-year 2024 American Community Survey,127957,16.1%,77.2%,4492,5.30%,77415,62240,2432000000,5622000000,34,3,3403,,New Jersey,3,New Jersey District 3,3403
"Congressional District 4, New Jersey",2024,1-year 2024 American Community Survey,70776,8.9%,69.8%,3286,8.30%,41633,33472,1159000000,2680000000,34,4,3404,,New Jersey,4,New Jersey District 4,3404
"Congressional District 5, New Jersey",2024,1-year 2024 American Community Survey,225644,28.4%,83.5%,9854,7.10%,146750,117982,4577000000,10580000000,34,5,3405,,New Jersey,5,New Jersey District 5,3405
"Congressional District 6, New Jersey",2024,1-year 2024 American Community Survey,240267,30.5%,87.3%,8803,5.80%,129642,104228,4129000000,9546000000,34,6,3406,,New Jersey,6,New Jersey District 6,3406
"Congressional District 7, New Jersey",2024,1-year 2024 American Community Survey,133484,16.9%,79.9%,6016,6.70%,84844,68212,3239000000,7489000000,34,7,3407,,New Jersey,7,New Jersey District 7,3407
"Congressional District 8, New Jersey",2024,1-year 2024 American Community Survey,371988,47.7%,91.7%,15606,6.70%,148401,119310,6078000000,14050000000,34,8,3408,,New Jersey,8,New Jersey District 8,3408
"Congressional District 9, New Jersey",2024,1-year 2024 American Community Survey,303662,39.3%,89.0%,12068,6.50%,164941,132608,4266000000,9863000000,34,9,3409,,New Jersey,9,New Jersey District 9,3409
"Congressional District 10, New Jersey",2024,1-year 2024 American Community Survey,283848,35.5%,76.9%,10051,5.80%,153105,123092,3725000000,8610000000,34,10,3410,,New Jersey,10,New Jersey District 10,3410
"Congressional District 11, New Jersey",2024,1-year 2024 American Community Survey,175382,21.9%,82.4%,7949,6.90%,113689,91402,4071000000,9411000000,34,11,3411,,New Jersey,11,New Jersey District 11,3411
"Congressional District 12, New Jersey",2024,1-year 2024 American Community Survey,278726,34.5%,84.7%,12850,6.80%,137635,110655,5851000000,13528000000,34,12,3412,,New Jersey,12,New Jersey District 12,3412
"Congressional District 2, New Mexico",2024,1-year 2024 American Community Survey,88932,12.5%,88.9%,3868,8.50%,36156,25519,749000000,2156000000,35,2,3502,,New Mexico,2,New Mexico District 2,3502
"Congressional District 1, New York",2024,1-year 2024 American Community Survey,111461,14.3%,78.2%,6195,9.10%,63604,46115,2636000000,5375000000,36,1,3601,,New York,1,New York District 1,3601
"Congressional District 2, New York",2024,1-year 2024 American Community Survey,159253,20.5%,85.5%,5104,4.90%,85819,62222,2536000000,5170000000,36,2,3602,,New York,2,New York District 2,3602
"Congressional District 3, New York",2024,1-year 2024 American Community Survey,228355,29.4%,82.8%,12465,9.00%,158096,114624,5221000000,10647000000,36,3,3603,,New York,3,New York District 3,3603
"Congressional District 4, New York",2024,1-year 2024 American Community Survey,203357,26.2%,75.0%,7730,6.10%,126499,91716,3892000000,7937000000,36,4,3604,,New York,4,New York District 4,3604
"Congressional District 5, New York",2024,1-year 2024 American Community Survey,334900,43.7%,53.9%,14191,7.60%,217535,157720,5098000000,10394000000,36,5,3605,,New York,5,New York District 5,3605
"Congressional District 6, New York",2024,1-year 2024 American Community Survey,402414,55.4%,90.3%,18516,8.10%,218755,158604,6304000000,12853000000,36,6,3606,,New York,6,New York District 6,3606
"Congressional District 7, New York",2024,1-year 2024 American Community Survey,251574,32.3%,82.8%,11087,7.20%,125419,90933,4994000000,10183000000,36,7,3607,,New York,7,New York District 7,3607
"Congressional District 8, New York",2024,1-year 2024 American Community Survey,283065,38.3%,68.7%,6881,4.80%,187392,135865,4263000000,8692000000,36,8,3608,,New York,8,New York District 8,3608
"Congressional District 9, New York",2024,1-year 2024 American Community Survey,282009,39.6%,56.1%,12859,8.00%,190489,138111,4132000000,8425000000,36,9,3609,,New York,9,New York District 9,3609
"Congressional District 10, New York",2024,1-year 2024 American Community Survey,207947,27.5%,78.9%,10492,8.50%,106093,76921,5596000000,11411000000,36,10,3610,,New York,10,New York District 10,3610
"Congressional District 11, New York",2024,1-year 2024 American Community Survey,260918,34.3%,87.9%,12936,8.40%,158646,115024,4140000000,8441000000,36,11,3611,,New York,11,New York District 11,3611
"Congressional District 12, New York",2024,1-year 2024 American Community Survey,188970,25.1%,71.6%,3845,3.00%,100734,73036,8447000000,17224000000,36,12,3612,,New York,12,New York District 12,3612
"Congressional District 13, New York",2024,1-year 2024 American Community Survey,250597,33.5%,86.3%,8623,6.30%,132352,95959,3138000000,6399000000,36,13,3613,,New York,13,New York District 13,3613
"Congressional District 14, New York",2024,1-year 2024 American Community Survey,284017,38.5%,88.3%,12639,7.50%,137580,99750,3643000000,7428000000,36,14,3614,,New York,14,New York District 14,3614
"Congressional District 15, New York",2024,1-year 2024 American Community Survey,258134,34.2%,77.3%,10321,7.10%,138254,100239,3095000000,6310000000,36,15,3615,,New York,15,New York District 15,3615
"Congressional District 16, New York",2024,1-year 2024 American Community Survey,234286,30.3%,73.3%,11503,8.10%,140839,102113,4942000000,10077000000,36,16,3616,,New York,16,New York District 16,3616
"Congressional District 17, New York",2024,1-year 2024 American Community Survey,163543,20.9%,80.5%,8985,9.10%,93403,67720,3210000000,6546000000,36,17,3617,,New York,17,New York District 17,3617
"Congressional District 18, New York",2024,1-year 2024 American Community Survey,101593,12.8%,71.1%,6511,10.40%,58958,42746,1738000000,3544000000,36,18,3618,,New York,18,New York District 18,3618
"Congressional District 20, New York",2024,1-year 2024 American Community Survey,74409,9.4%,68.2%,2211,4.70%,42695,30955,1585000000,3232000000,36,20,3620,,New York,20,New York District 20,3620
"Congressional District 22, New York",2024,1-year 2024 American Community Survey,67185,8.8%,77.1%,1693,4.70%,34807,25236,834000000,1701000000,36,22,3622,,New York,22,New York District 22,3622
"Congressional District 26, New York",2024,1-year 2024 American Community Survey,77141,10.1%,76.4%,1676,4.00%,43049,31212,942000000,1921000000,36,26,3626,,New York,26,New York District 26,3626
"Congressional District 2, North Carolina",2024,1-year 2024 American Community Survey,122150,15.4%,83.6%,5370,6.50%,57610,40141,1926000000,5272000000,37,2,3702,,North Carolina,2,North Carolina District 2,3702
"Congressional District 4, North Carolina",2024,1-year 2024 American Community Survey,148700,18.5%,81.5%,7420,7.50%,67408,46968,2715000000,7432000000,37,4,3704,,North Carolina,4,North Carolina District 4,3704
"Congressional District 6, North Carolina",2024,1-year 2024 American Community Survey,80457,10.1%,84.9%,4042,7.40%,31915,22237,951000000,2604000000,37,6,3706,,North Carolina,6,North Carolina District 6,3706
"Congressional District 8, North Carolina",2024,1-year 2024 American Community Survey,81403,10.3%,84.9%,2537,4.80%,39025,27191,1350000000,3697000000,37,8,3708,,North Carolina,8,North Carolina District 8,3708
"Congressional District 9, North Carolina",2024,1-year 2024 American Community Survey,65417,8.3%,81.2%,3274,8.80%,24724,17227,606000000,1658000000,37,9,3709,,North Carolina,9,North Carolina District 9,3709
"Congressional District 10, North Carolina",2024,1-year 2024 American Community Survey,65087,8.3%,81.0%,3299,8.70%,29868,20811,810000000,2217000000,37,10,3710,,North Carolina,10,North Carolina District 10,3710
"Congressional District 12, North Carolina",2024,1-year 2024 American Community Survey,151048,18.8%,83.8%,10091,10.00%,43028,29980,1682000000,4604000000,37,12,3712,,North Carolina,12,North Carolina District 12,3712
"Congressional District 13, North Carolina",2024,1-year 2024 American Community Survey,67968,8.1%,80.2%,5113,11.30%,30324,21128,789000000,2160000000,37,13,3713,,North Carolina,13,North Carolina District 13,3713
"Congressional District 14, North Carolina",2024,1-year 2024 American Community Survey,83716,10.6%,85.0%,4052,7.50%,35625,24822,1128000000,3089000000,37,14,3714,,North Carolina,14,North Carolina District 14,3714
"Congressional District 3, Ohio",2024,1-year 2024 American Community Survey,106502,13.5%,87.7%,3868,5.90%,55924,39879,1276000000,3353000000,39,3,3903,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Ohio,3,Ohio District 3,3903
"Congressional District 15, Ohio",2024,1-year 2024 American Community Survey,75931,9.2%,87.6%,4550,9.60%,32805,23394,886000000,2329000000,39,15,3915,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Ohio,15,Ohio District 15,3915
"Congressional District 1, Oklahoma",2024,1-year 2024 American Community Survey,79118,9.6%,87.7%,3712,7.30%,29441,16312,853000000,2444000000,40,1,4001,,Oklahoma,1,Oklahoma District 1,4001
"Congressional District 3, Oklahoma",2024,1-year 2024 American Community Survey,68422,8.6%,89.1%,4028,9.50%,23173,12840,601000000,1722000000,40,3,4003,,Oklahoma,3,Oklahoma District 3,4003
"Congressional District 1, Oregon",2024,1-year 2024 American Community Survey,114225,15.9%,82.5%,5034,6.80%,54396,38808,1876000000,4741000000,41,1,4101,,Oregon,1,Oregon District 1,4101
"Congressional District 3, Oregon",2024,1-year 2024 American Community Survey,101390,14.5%,81.2%,5491,8.30%,57080,40723,1318000000,3329000000,41,3,4103,,Oregon,3,Oregon District 3,4103
"Congressional District 6, Oregon",2024,1-year 2024 American Community Survey,89871,12.5%,85.6%,4222,7.10%,41500,29607,1099000000,2778000000,41,6,4106,,Oregon,6,Oregon District 6,4106
"Congressional District 1, Pennsylvania",2024,1-year 2024 American Community Survey,83536,10.9%,79.0%,3564,6.60%,55003,39180,1707000000,4297000000,42,1,4201,,Pennsylvania,1,Pennsylvania District 1,4201
"Congressional District 2, Pennsylvania",2024,1-year 2024 American Community Survey,161909,21.9%,85.4%,7221,7.60%,86146,61363,1812000000,4562000000,42,2,4202,,Pennsylvania,2,Pennsylvania District 2,4202
"Congressional District 3, Pennsylvania",2024,1-year 2024 American Community Survey,75426,9.8%,70.4%,2208,4.60%,40051,28529,1087000000,2736000000,42,3,4203,,Pennsylvania,3,Pennsylvania District 3,4203
"Congressional District 4, Pennsylvania",2024,1-year 2024 American Community Survey,81006,10.3%,77.5%,3498,6.60%,50170,35737,1658000000,4175000000,42,4,4204,,Pennsylvania,4,Pennsylvania District 4,4204
"Congressional District 5, Pennsylvania",2024,1-year 2024 American Community Survey,98583,12.8%,75.6%,5618,9.20%,60097,42808,1491000000,3755000000,42,5,4205,,Pennsylvania,5,Pennsylvania District 5,4205
"Congressional District 6, Pennsylvania",2024,1-year 2024 American Community Survey,106012,13.3%,85.3%,4865,7.50%,46565,33169,1799000000,4529000000,42,6,4206,,Pennsylvania,6,Pennsylvania District 6,4206
"Congressional District 7, Pennsylvania",2024,1-year 2024 American Community Survey,94877,12.0%,80.6%,2635,4.60%,52723,37555,1076000000,2708000000,42,7,4207,,Pennsylvania,7,Pennsylvania District 7,4207
"Congressional District 8, Pennsylvania",2024,1-year 2024 American Community Survey,78354,10.1%,79.3%,1873,4.50%,38453,27390,903000000,2273000000,42,8,4208,,Pennsylvania,8,Pennsylvania District 8,4208
"Congressional District 10, Pennsylvania",2024,1-year 2024 American Community Survey,68285,8.6%,79.2%,2542,6.30%,32072,22845,922000000,2322000000,42,10,4210,,Pennsylvania,10,Pennsylvania District 10,4210
"Congressional District 1, Rhode Island",2024,1-year 2024 American Community Survey,105720,19.0%,85.3%,6108,9.60%,55281,41398,1191000000,3210000000,44,1,4401,,Rhode Island,1,Rhode Island District 1,4401
"Congressional District 2, Rhode Island",2024,1-year 2024 American Community Survey,69149,12.4%,81.5%,1875,4.50%,36172,27089,908000000,2447000000,44,2,4402,,Rhode Island,2,Rhode Island District 2,4402
"Congressional District 4, South Carolina",2024,1-year 2024 American Community Survey,80058,9.9%,84.4%,4246,8.70%,35564,23379,889000000,2486000000,45,4,4504,,South Carolina,4,South Carolina District 4,4504
"Congressional District 5, Tennessee",2024,1-year 2024 American Community Survey,112401,13.5%,83.1%,5731,7.80%,43576,23877,1397000000,4049000000,47,5,4705,,Tennessee,5,Tennessee District 5,4705
"Congressional District 2, Texas",2024,1-year 2024 American Community Survey,149876,17.0%,85.3%,11717,12.40%,71099,49690,2327000000,6693000000,48,2,4802,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,2,Texas District 2,4802
"Congressional District 3, Texas",2024,1-year 2024 American Community Survey,189927,20.6%,85.5%,8987,7.00%,100112,69967,3408000000,9805000000,48,3,4803,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,3,Texas District 3,4803
"Congressional District 4, Texas",2024,1-year 2024 American Community Survey,157196,18.0%,84.6%,9121,8.80%,72270,50508,2658000000,7646000000,48,4,4804,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,4,Texas District 4,4804
"Congressional District 5, Texas",2024,1-year 2024 American Community Survey,133826,15.6%,89.2%,11390,13.70%,59887,41854,1275000000,3668000000,48,5,4805,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,5,Texas District 5,4805
"Congressional District 6, Texas",2024,1-year 2024 American Community Survey,150413,17.7%,89.0%,10251,10.20%,54911,38377,1532000000,4406000000,48,6,4806,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,6,Texas District 6,4806
"Congressional District 7, Texas",2024,1-year 2024 American Community Survey,294627,38.3%,88.3%,18813,10.40%,137653,96204,3963000000,11401000000,48,7,4807,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,7,Texas District 7,4807
"Congressional District 8, Texas",2024,1-year 2024 American Community Survey,207356,21.9%,85.8%,12408,9.30%,98029,68511,2469000000,7103000000,48,8,4808,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,8,Texas District 8,4808
"Congressional District 9, Texas",2024,1-year 2024 American Community Survey,249110,30.3%,87.7%,13001,8.50%,92385,64566,2438000000,7013000000,48,9,4809,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,9,Texas District 9,4809
"Congressional District 10, Texas",2024,1-year 2024 American Community Survey,120861,14.5%,83.2%,6628,8.50%,53928,37689,1887000000,5430000000,48,10,4810,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,10,Texas District 10,4810
"Congressional District 11, Texas",2024,1-year 2024 American Community Survey,87421,10.9%,87.8%,4279,8.70%,36057,25200,911000000,2620000000,48,11,4811,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,11,Texas District 11,4811
"Congressional District 12, Texas",2024,1-year 2024 American Community Survey,98034,11.5%,79.6%,5266,8.10%,42220,29507,1083000000,3114000000,48,12,4812,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,12,Texas District 12,4812
"Congressional District 13, Texas",2024,1-year 2024 American Community Survey,84361,10.5%,88.7%,4775,8.80%,32587,22774,851000000,2447000000,48,13,4813,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,13,Texas District 13,4813
"Congressional District 14, Texas",2024,1-year 2024 American Community Survey,78071,9.9%,88.1%,6854,15.40%,36158,25270,804000000,2314000000,48,14,4814,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,14,Texas District 14,4814
"Congressional District 15, Texas",2024,1-year 2024 American Community Survey,178890,22.0%,95.8%,17421,18.20%,57368,40093,1360000000,3912000000,48,15,4815,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,15,Texas District 15,4815
"Congressional District 16, Texas",2024,1-year 2024 American Community Survey,169488,21.6%,93.2%,8665,9.70%,85480,59741,1419000000,4081000000,48,16,4816,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,16,Texas District 16,4816
"Congressional District 17, Texas",2024,1-year 2024 American Community Survey,86864,10.9%,89.1%,5001,8.70%,36927,25808,991000000,2850000000,48,17,4817,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,17,Texas District 17,4817
"Congressional District 18, Texas",2024,1-year 2024 American Community Survey,222748,27.0%,91.3%,12954,9.50%,61856,43230,1866000000,5368000000,48,18,4818,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,18,Texas District 18,4818
"Congressional District 20, Texas",2024,1-year 2024 American Community Survey,128339,16.7%,93.3%,8128,11.60%,40786,28505,955000000,2748000000,48,20,4820,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,20,Texas District 20,4820
"Congressional District 21, Texas",2024,1-year 2024 American Community Survey,82161,9.7%,82.1%,4465,8.30%,38899,27186,1099000000,3163000000,48,21,4821,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,21,Texas District 21,4821
"Congressional District 22, Texas",2024,1-year 2024 American Community Survey,228033,25.5%,88.5%,12162,8.30%,117457,82089,3624000000,10425000000,48,22,4822,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,22,Texas District 22,4822
"Congressional District 23, Texas",2024,1-year 2024 American Community Survey,130410,16.2%,91.3%,5884,9.50%,60573,42334,1219000000,3506000000,48,23,4823,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,23,Texas District 23,4823
"Congressional District 24, Texas",2024,1-year 2024 American Community Survey,118940,15.4%,84.2%,4452,5.90%,66639,46573,2093000000,6020000000,48,24,4824,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,24,Texas District 24,4824
"Congressional District 25, Texas",2024,1-year 2024 American Community Survey,90988,11.0%,87.8%,4112,7.40%,40583,28363,834000000,2398000000,48,25,4825,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,25,Texas District 25,4825
"Congressional District 26, Texas",2024,1-year 2024 American Community Survey,160628,18.2%,84.7%,7115,6.40%,86717,60605,2702000000,7772000000,48,26,4826,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,26,Texas District 26,4826
"Congressional District 27, Texas",2024,1-year 2024 American Community Survey,71952,9.1%,78.2%,4919,11.60%,22435,15680,763000000,2196000000,48,27,4827,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,27,Texas District 27,4827
"Congressional District 28, Texas",2024,1-year 2024 American Community Survey,139371,16.9%,90.8%,9529,12.10%,53116,37122,1120000000,3221000000,48,28,4828,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,28,Texas District 28,4828
"Congressional District 29, Texas",2024,1-year 2024 American Community Survey,265908,35.2%,93.6%,17188,11.60%,78964,55186,2025000000,5824000000,48,29,4829,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,29,Texas District 29,4829
"Congressional District 30, Texas",2024,1-year 2024 American Community Survey,135493,17.2%,87.3%,5260,6.00%,57233,39999,1558000000,4482000000,48,30,4830,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,30,Texas District 30,4830
"Congressional District 31, Texas",2024,1-year 2024 American Community Survey,116732,12.9%,84.4%,6296,8.40%,50508,35299,1899000000,5462000000,48,31,4831,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,31,Texas District 31,4831
"Congressional District 32, Texas",2024,1-year 2024 American Community Survey,213488,27.9%,88.1%,10174,7.40%,69624,48659,2089000000,6009000000,48,32,4832,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,32,Texas District 32,4832
"Congressional District 33, Texas",2024,1-year 2024 American Community Survey,285867,36.2%,94.7%,15629,8.80%,72048,50353,2800000000,8054000000,48,33,4833,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,33,Texas District 33,4833
"Congressional District 34, Texas",2024,1-year 2024 American Community Survey,179507,22.5%,95.9%,13902,15.10%,59743,41753,1487000000,4278000000,48,34,4834,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,34,Texas District 34,4834
"Congressional District 35, Texas",2024,1-year 2024 American Community Survey,167988,19.2%,91.1%,10152,9.30%,53978,37724,1882000000,5413000000,48,35,4835,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,35,Texas District 35,4835
"Congressional District 36, Texas",2024,1-year 2024 American Community Survey,118628,14.5%,86.6%,5473,8.10%,52269,36530,1260000000,3625000000,48,36,4836,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,36,Texas District 36,4836
"Congressional District 37, Texas",2024,1-year 2024 American Community Survey,153494,19.8%,81.3%,6358,5.90%,58698,41023,2975000000,8559000000,48,37,4837,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,37,Texas District 37,4837
"Congressional District 38, Texas",2024,1-year 2024 American Community Survey,198960,24.5%,87.3%,11513,9.40%,95177,66518,2759000000,7937000000,48,38,4838,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Texas,38,Texas District 38,4838
"Congressional District 2, Utah",2024,1-year 2024 American Community Survey,104697,11.9%,85.3%,3413,5.10%,35579,22833,934000000,2679000000,49,2,4902,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Utah,2,Utah District 2,4902
"Congressional District 3, Utah",2024,1-year 2024 American Community Survey,73020,8.8%,79.7%,3379,7.20%,29884,19179,788000000,2259000000,49,3,4903,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Utah,3,Utah District 3,4903
"Congressional District 4, Utah",2024,1-year 2024 American Community Survey,102221,11.1%,84.4%,3685,5.20%,41517,26644,1177000000,3375000000,49,4,4904,District boundaries shown reflect those in effect for the 2024 elections (119th Congress),Utah,4,Utah District 4,4904
"Congressional District 1, Virginia",2024,1-year 2024 American Community Survey,76839,9.3%,77.1%,2367,4.80%,46121,34488,1334000000,3278000000,51,1,5101,,Virginia,1,Virginia District 1,5101
"Congressional District 2, Virginia",2024,1-year 2024 American Community Survey,70135,8.9%,77.4%,3277,8.30%,38620,28879,1031000000,2533000000,51,2,5102,,Virginia,2,Virginia District 2,5102
"Congressional District 4, Virginia",2024,1-year 2024 American Community Survey,67467,8.3%,80.9%,2010,5.50%,24113,18031,602000000,1479000000,51,4,5104,,Virginia,4,Virginia District 4,5104
"Congressional District 7, Virginia",2024,1-year 2024 American Community Survey,137479,16.7%,86.3%,7208,7.90%,71245,53275,1824000000,4482000000,51,7,5107,,Virginia,7,Virginia District 7,5107
"Congressional District 8, Virginia",2024,1-year 2024 American Community Survey,216070,27.4%,86.5%,11438,8.40%,112472,84103,3335000000,8196000000,51,8,5108,,Virginia,8,Virginia District 8,5108
"Congressional District 10, Virginia",2024,1-year 2024 American Community Survey,205621,25.0%,87.7%,7277,5.00%,121121,90571,4043000000,9934000000,51,10,5110,,Virginia,10,Virginia District 10,5110
"Congressional District 11, Virginia",2024,1-year 2024 American Community Survey,249121,31.4%,86.0%,8930,5.40%,150565,112588,4884000000,12001000000,51,11,5111,,Virginia,11,Virginia District 11,5111
"Congressional District 1, Washington",2024,1-year 2024 American Community Survey,224098,27.6%,86.8%,8372,5.60%,97193,68432,7184000000,17107000000,53,1,5301,,Washington,1,Washington District 1,5301
"Congressional District 2, Washington",2024,1-year 2024 American Community Survey,108723,13.8%,78.0%,4770,7.70%,56715,39932,1802000000,4290000000,53,2,5302,,Washington,2,Washington District 2,5302
"Congressional District 3, Washington",2024,1-year 2024 American Community Survey,70149,8.7%,80.4%,4111,9.10%,38972,27439,1091000000,2599000000,53,3,5303,,Washington,3,Washington District 3,5303
"Congressional District 4, Washington",2024,1-year 2024 American Community Survey,130640,16.4%,88.5%,4902,6.00%,45217,31837,1398000000,3329000000,53,4,5304,,Washington,4,Washington District 4,5304
"Congressional District 7, Washington",2024,1-year 2024 American Community Survey,155260,19.1%,76.1%,5111,4.60%,70995,49986,4517000000,10757000000,53,7,5307,,Washington,7,Washington District 7,5307
